event_id,user_id,timestamp,event_name
f8a1f3d8,208faa8b,2025-01-29 12:12:46.766424,video_recorded
b0f18491,208faa8b,2025-01-29 04:18:30.208823,login
09f381dd,208faa8b,2025-01-31 18:10:26.094220,login
5d44e2e6,208faa8b,2025-01-29 01:29:51.180633,login
29f45ce3,208faa8b,2025-02-03 08:37:22.537638,video_recorded
84ae08cc,df6431c9,2025-01-13 00:47:02.599670,team_invited
26ccb02c,df6431c9,2025-01-12 10:49:00.789846,video_shared
32e59197,df6431c9,2025-01-13 08:51:07.054963,video_shared
729634ac,df6431c9,2025-01-16 14:43:53.014059,video_recorded
aa0175ee,df6431c9,2025-01-14 03:59:09.956985,team_invited
377dc53b,df6431c9,2025-01-12 03:25:28.549857,team_invited
b9c71530,df6431c9,2025-01-12 13:27:40.356513,video_recorded
440bd8f2,df6431c9,2025-01-20 22:06:19.876077,integration_connected
d853fd9e,df6431c9,2025-01-16 22:58:04.343673,video_shared
3e1ca340,df6431c9,2025-01-12 07:23:59.880049,team_invited
29831e46,df6431c9,2025-01-13 17:45:59.546398,video_recorded
c8b012d7,df6431c9,2025-01-14 01:12:55.441532,video_recorded
c4f9f291,df6431c9,2025-01-19 04:49:49.612412,video_shared
28d20fdf,df6431c9,2025-01-15 06:12:37.502988,video_shared
f368a5b3,df6431c9,2025-01-14 04:51:21.544220,team_invited
7fb55a39,df6431c9,2025-01-12 14:42:57.524992,integration_connected
e0687539,df6431c9,2025-01-16 11:26:30.001754,integration_connected
5c3ede82,df6431c9,2025-01-18 18:09:17.797761,team_invited
f89d0a51,df6431c9,2025-01-19 15:33:33.650307,video_recorded
c2538a6b,df6431c9,2025-01-12 15:42:20.512848,video_recorded
9a2f8443,df6431c9,2025-01-13 04:20:03.516899,video_shared
ceacd531,df6431c9,2025-01-12 22:47:32.466880,team_invited
d9f6acb5,df6431c9,2025-01-13 07:46:06.038278,video_shared
df7fc089,df6431c9,2025-01-14 08:19:59.915967,video_recorded
5be6366c,df6431c9,2025-01-16 20:40:29.348025,video_recorded
7afd72cf,df6431c9,2025-01-25 00:03:30.731221,team_invited
e699fea5,df6431c9,2025-01-12 15:57:03.022979,video_recorded
3646ff4d,df6431c9,2025-01-17 01:40:21.244724,team_invited
5c4ea093,df6431c9,2025-01-15 22:00:27.825958,team_invited
95ccb667,df6431c9,2025-01-12 05:32:20.065621,video_shared
3087da2f,df6431c9,2025-01-12 08:52:00.507113,team_invited
977e2ba9,df6431c9,2025-01-14 22:17:37.268892,video_shared
e8f3b7f0,df6431c9,2025-01-12 04:43:41.162657,video_shared
5ca65c1c,df6431c9,2025-01-13 04:19:07.044057,team_invited
546ebfb2,df6431c9,2025-01-15 01:04:19.321834,team_invited
bdffd27c,df6431c9,2025-01-13 22:00:45.941771,video_recorded
2f9f8db4,df6431c9,2025-01-15 17:56:13.548447,team_invited
985f8aa9,df6431c9,2025-01-14 11:19:11.638674,team_invited
